id,property,needs_translation,default,translated
1375,SYNONYM,f,Clostridium barkeri,
2392,SYNONYM,f,Clostridium bartlettii,
687,SYNONYM,f,Clostridium bifermentans,
55,SYNONYM,f,Clostridium bolteae,
1034,SYNONYM,f,Clostridium celerecrescens,
2822,SYNONYM,f,Clostridium citroniae,
790,SYNONYM,f,Clostridium clostridioforme,
219,SYNONYM,f,Clostridium difficile,
824,SYNONYM,f,Clostridium ghonii,
1092,SYNONYM,f,Clostridium glycolicum,
1167,SYNONYM,f,Clostridium hastiforme,
238,SYNONYM,f,Clostridium hathewayi,
679,SYNONYM,f,Clostridium histolyticum,
2291,SYNONYM,f,Clostridium indolis,
2319,SYNONYM,f,Clostridium irregulare,
2826,SYNONYM,f,Clostridium lavalense,
1440,SYNONYM,f,Clostridium ghoni,
1857,SYNONYM,f,Clostridium lentoputrescens,
1930,SYNONYM,f,Clostridium limosum,
1220,SYNONYM,f,Clostridium orbiscindens,
1721,SYNONYM,f,Clostridium oroticum,
1870,SYNONYM,f,Clostridium paraperfringens,
796,SYNONYM,f,Clostridium perenne,
1459,SYNONYM,f,Clostridium sordellii,
613,SYNONYM,f,Clostridium sphenoides,
2828,SYNONYM,f,Clostridium ventriculi,
1285,SYNONYM,f,Clostridium villosum,
1725,SYNONYM,t,Colorado tick fever virus,Colorado-Zeckenfieber-Virus
684,SYNONYM,f,Comamonas acidovorans,
1042,SYNONYM,f,Corynebacterium camporealensis,
1155,SYNONYM,f,Corynebacterium equi,
234,SYNONYM,f,Corynebacterium fascians,
246,SYNONYM,f,Corynebacterium hoagii,
2576,SYNONYM,f,Corynebacterium lilium,
1052,SYNONYM,f,Corynebacterium mooreparkense,
1067,SYNONYM,f,Corynebacterium nigricans,
328,SYNONYM,f,Corynebacterium paurometabolum,
754,SYNONYM,f,Corynebacterium pyogenes,
78,SYNONYM,f,Corynebacterium seminale,
2929,SYNONYM,f,Corynebacterium tuscaniae,
677,SYNONYM,f,Corynebacterium variabilis,
1548,SYNONYM,f,Corynebacterium vitarumen,
632,SYNONYM,t,Crimean-Congo hemorrhagic fever virus,Krim-Kongo-Fieber-Virus
900,SYNONYM,f,Cryptococcus aggregatus,
2460,SYNONYM,f,Cryptococcus utilis,
2012,SYNONYM,f,Curvularia spicifera,
771,SYNONYM,f,Cytophaga heparina,
2307,SYNONYM,f,Dactylaria constricta,
2534,SYNONYM,f,Debaryomyces polymorphus,
933,SYNONYM,f,Desulfomonas,
1789,SYNONYM,f,Dietzia cinnamea,
97,SYNONYM,f,Drechslera,
1618,SYNONYM,f,Drechslera halodes,
82,SYNONYM,f,Drechslera rostrata,
2471,SYNONYM,f,Drechslera spicifera,
2646,SYNONYM,t,Eastern equine encephalitis virus North American,Östliches Pferdeenzephalitis-Virus Nordamerikanisch
2648,SYNONYM,t,Eastern equine encephalitis virus South American,Östliches Pferdeenzephalitis-Virus Südamerikanisch
1910,SYNONYM,f,Edwardsiella anguillimortifera,
2286,SYNONYM,f,Enterobacter aerogenes,
2281,SYNONYM,f,Enterobacter agglomerans,
1755,SYNONYM,f,Enterobacter amnigenus,
1974,SYNONYM,f,Enterobacter cowanii,
1571,SYNONYM,f,Enterobacter dissolvens,
446,SYNONYM,f,Enterobacter gergoviae,
1809,SYNONYM,f,Enterobacter intermedius,
2322,SYNONYM,f,Enterobacter nimipressuralis,
38,SYNONYM,f,Enterobacter pyrinus,
2716,SYNONYM,f,Enterobacter sakazakii,
2453,SYNONYM,f,Enterococcus flavescens,
849,SYNONYM,f,Enterococcus saccharominimus,
2302,SYNONYM,f,Enterococcus seriolicida,
750,SYNONYM,f,Enterococcus solitarius,
706,SYNONYM,f,Entomophthora coronata,
2116,SYNONYM,t,Epstein-Barr virus,Epstein-Barr-Virus
1948,SYNONYM,f,Erwinia ananas,
2587,SYNONYM,f,Erwinia cancerogena,
2390,SYNONYM,f,Erwinia dissolvens,
1361,SYNONYM,f,Erwinia nimipressuralis,
2718,SYNONYM,f,Erwinia persicinus,
2099,SYNONYM,f,Erwinia uredovora,
2615,SYNONYM,f,Erythrovirus B19,
222,SYNONYM,f,Escherichia adecarboxylata,
2353,SYNONYM,f,Escherichia vulneris,
1327,SYNONYM,f,Eubacterium aerofaciens,
2212,SYNONYM,f,Eubacterium alactolyticum,
1483,SYNONYM,f,Eubacterium biforme,
455,SYNONYM,f,Eubacterium budayi,
34,SYNONYM,f,Eubacterium combesii,
2137,SYNONYM,f,Eubacterium contortum,
682,SYNONYM,f,Eubacterium cylindroides,
1051,SYNONYM,f,Eubacterium dolichum,
228,SYNONYM,f,Eubacterium eligens,
1300,SYNONYM,f,Eubacterium exiguum,
271,SYNONYM,f,Eubacterium fossor,
1737,SYNONYM,f,Eubacterium hadrum,
1909,SYNONYM,f,Eubacterium hallii,
1433,SYNONYM,f,Eubacterium lentum,
756,SYNONYM,f,Eubacterium moniliforme,
270,SYNONYM,f,Eubacterium plautii,
575,SYNONYM,f,Eubacterium rectale,
995,SYNONYM,f,Eubacterium saburreum,
1180,SYNONYM,f,Eubacterium timidum,
1674,SYNONYM,f,Exophiala werneckii,
1381,SYNONYM,f,Falcivibrio grandis,
25,SYNONYM,f,Falcivibrio vaginalis,
1992,SYNONYM,f,Fissuricella filamenta,
2380,SYNONYM,f,Flavimonas oryzihabitans,
1039,SYNONYM,f,Flavobacterium breve,
1446,SYNONYM,f,Flavobacterium gleum,
2242,SYNONYM,f,Flavobacterium heparinum,
636,SYNONYM,f,Flavobacterium indologenes,
1824,SYNONYM,f,Flavobacterium marinotypicum,
2363,SYNONYM,f,Flavobacterium meningosepticum,
1945,SYNONYM,f,Flavobacterium multivorum,
620,SYNONYM,f,Flavobacterium odoratum,
1305,SYNONYM,f,Flavobacterium spiritivorum,
2128,SYNONYM,f,Flavobacterium thalpophilum,
319,SYNONYM,f,Flavobacterium yabuuchiae,
622,SYNONYM,f,Fluoribacter,
135,SYNONYM,f,Fluoribacter bozemanae,
947,SYNONYM,f,Fluoribacter dumoffii,
766,SYNONYM,f,Fluoribacter gormanii,
1112,SYNONYM,f,Fonsecaea compacta,
1095,SYNONYM,f,Fonsecaea compactum,
616,SYNONYM,f,Fonsecaea dermatitidis,
1113,SYNONYM,f,Fusarium dimerum,
2102,SYNONYM,f,Fusarium semitectum,
670,SYNONYM,f,Fusarium sporotrichioides,
996,SYNONYM,f,Fusicoccum dimidiatum,
1551,SYNONYM,f,Fusobacterium alocis,
202,SYNONYM,f,Fusobacterium nucleatum fusiforme,
1149,SYNONYM,f,Fusobacterium plauti,
940,SYNONYM,f,Fusobacterium polymorphum,
889,SYNONYM,f,Fusobacterium prausnitzii,
1473,SYNONYM,f,Fusobacterium sulci,
1114,SYNONYM,f,Gemella bergeriae,
1997,SYNONYM,f,Geobacillus thermoglucosidasius,
2510,SYNONYM,f,Geotrichum klebahnii,
1947,SYNONYM,f,Geotrichum penicillatum,
1369,SYNONYM,f,Gordonia rubropertinctus,
2601,SYNONYM,t,Group A streptococcus,Streptokokken der Gruppe A
2602,SYNONYM,t,Group B streptococcus,Streptokokken der Gruppe B
173,SYNONYM,f,Haemophilus actinomycetemcomitans,
293,SYNONYM,f,Haemophilus aphrophilus,
1799,SYNONYM,f,Haemophilus haemoglobinophilus,
191,SYNONYM,f,Haemophilus segnis,
2474,SYNONYM,f,Hansenula anomala,
1044,SYNONYM,f,Hansenula fabianii,
811,SYNONYM,f,Hansenula polymorpha,
1875,SYNONYM,f,Helicobacter acinonyx,
193,SYNONYM,f,Helicobacter nemestrinae,
1650,SYNONYM,f,Helminthosporium halodes,
1441,SYNONYM,f,Helminthosporium rostratum,
