id,code,name,programRuleVariableSourceType,valueType,useCodeForOptionSet,program,dataElement,trackedEntityAttribute,programStage,sharing
EWYX9buec5T,NEOIPC_NEC_EXTENSIVE_BOWEL_NECROSIS_UINT,NeoIPC NEC Extensive bowel necrosis uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
M40DuS6evjz,NEOIPC_NEC_FIXED_BOWEL_LOOP_UINT,NeoIPC NEC Fixed bowel loop uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
Hspw05DED1g,NEOIPC_NEC_FIXED_LOOP_CUR,NeoIPC NEC Fixed bowel loop value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,True,D8mSSpOpsKj,aMA52Q2QgNk,,,
n2erqCqCm77,NEOIPC_NEC_GASTRIC_RESIDUALS_CUR,NeoIPC NEC Increased gastric residuals value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,True,D8mSSpOpsKj,ijbkQJBXaFZ,,,
bvlHVK4XyvR,NEOIPC_NEC_IMG_CLIN_FINDINGS_CRIT_FULFILLED,NeoIPC NEC Imaging Clinical findings criterion fulfilled,CALCULATED_VALUE,BOOLEAN,False,D8mSSpOpsKj,,,,
NrxeMjpOwCy,NEOIPC_NEC_IMG_FINDINGS_TOTAL_COUNT,NeoIPC NEC Imaging findings total count,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
IzXLJyt4Wm1,NEOIPC_NEC_INCREASED_GASTRIC_RESIDUALS_UINT,NeoIPC NEC Increased gastric residuals uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
B4sm8QixQ5l,NEOIPC_NEC_LOS_CUR,NeoIPC NEC Length of Stay current value,DATAELEMENT_CURRENT_EVENT,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,t4xpFiZeCHK,,,
nLl9aH1VyU8,NEOIPC_NEC_PNEUMAT_INT_IMG_COUNT,Pneumatosis intestinalis imaging - count,CALCULATED_VALUE,INTEGER,False,D8mSSpOpsKj,,,,
OeUuoeo3h3e,NEOIPC_NEC_PNEUMAT_INT_IMG_CUR,NeoIPC NEC Pneumatosis intestinalis imaging value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,True,D8mSSpOpsKj,nIqZE9xCVJ8,,,
LpdvDoqxRQe,NEOIPC_NEC_PNEUMAT_INT_IMG_UINT,NeoIPC NEC Pneumatosis intestinalis imaging uint value,CALCULATED_VALUE,INTEGER_ZERO_OR_POSITIVE,False,D8mSSpOpsKj,,,,
Qy0LGzPrJre,NEOIPC_NEC_PNEUMAT_INT_SURG_CUR,NeoIPC NEC Pneumatosis intestinalis surgical value,DATAELEMENT_CURRENT_EVENT,BOOLEAN,True,D8mSSpOpsKj,JEZhgQZLvqW,,,
