id,programRuleActionType,content,data,location,templateUid,programRule,dataElement,trackedEntityAttribute,programStageSection,programStage,programIndicator,optionGroup,option,sharing
aYu9OVyfrGa,HIDEFIELD,,,,,ehrBTKxrBMo,TGvIcZhfY4h,,,,,,,
aZrOkpaICko,ASSIGN,#{NeoIPC HAP Pathogen 2 is virus},expressions/programRules/NeoIPC HAP - set virus/aZrOkpaICko.data.dhis2,,,LZQHeUvyjfJ,,,,,,,,
aZwGywScUt5,SHOWERROR,"For transferred or re-admitted patients an infection is only considered a nosocomial infection if the day of symptom onset is greater than or equal to day 3 of the patient’s  hospital stay, where the day of admission is regarded as day 1. Please see chapter 3.4 of the NeoIPC Surveillance Protocol for the rules.",,,,PRHZlRPuVZs,t4xpFiZeCHK,,,,,,,
bFBGJuvlCYW,SHOWERROR,Antibiotic days must be less than or equal to patient days,,,,NGhr5Yt9Dk4,huoQuMzJwgw,,,,,,,
bcKnSS5FcS8,ASSIGN,#{NeoIPC NEC Pneumatosis intestinalis imaging uint value},expressions/programRules/NeoIPC NEC Pneumatosis intestinalis imaging value - true/bcKnSS5FcS8.data.dhis2,,,n1Hc37OvhSa,,,,,,,,
bdNPKVZZLB5,HIDEFIELD,,,,,jhW8xHnD8YD,vjSwdgu8l9s,,,,,,,
bvDkHGXwu19,HIDEFIELD,,,,,jhW8xHnD8YD,D6z0jmhQnm5,,,,,,,
byGXZQBnsfV,SETMANDATORYFIELD,,,,,BwaDt04UeHD,Au49L8nPTTv,,,,,,,
c1nvWF3ju1U,HIDEFIELD,,,,,ehrBTKxrBMo,ijekJ6XPx9C,,,,,,,
c4NjG2uyMNg,ASSIGN,#{NeoIPC BSI Common sepsis laboratory findings count},expressions/programRules/NeoIPC BSI Assign common laboratory findings count/c4NjG2uyMNg.data.dhis2,,,vsmxvp7bBHY,,,,,,,,
cFwDRaTty3N,ASSIGN,,expressions/programRules/NeoIPC SURGERY Set Length of Stay/cFwDRaTty3N.data.dhis2,,,D2RPS1cedtu,ey4XJquYYBI,,,,,,,
cHIbE45Stab,HIDEFIELD,,,,,jhW8xHnD8YD,QIlkIZDrbwn,,,,,,,
cb4iOsz4Hlq,HIDEFIELD,,,,,jhW8xHnD8YD,l9AarKAD8qi,,,,,,,
cs3eMawm5mP,HIDEFIELD,,,,,cnyYkKWdFSV,ztZ4Xwz7TJZ,,,,,,,
